T1,DUNGEON_TOWER_ENTRANCE,0,0,1,0,1,Skeleton,,Skeleton001,,Theme001,MoodFrozen,,,Layout005_Tutorial,Tutorial skeletons,
1,DUNGEON_CREEPY_RUINS,1,0,1,0,1,Skeleton,,,,Theme001,MoodHappy,Glacier001,,Layout005_001,,
2,DUNGEON_CREEPY_RUINS,1,0,1,0,1,Skeleton,,Skeleton003,,Theme001,MoodHappy,Glacier001,,Layout005_001,Leader,
3,DUNGEON_SHADY_PASSAGE,1,0,1,0,1,Skeleton,,,,Theme001,MoodDusty,Glacier002,,Layout005_001,,
4,DUNGEON_SHADY_PASSAGE,1,0,1,0,1,Skeleton,,,,Theme001,MoodDusty,Glacier002,,Layout005_001,,
5,DUNGEON_SHADY_PASSAGE,1,0,1,0,1,Skeleton,,Skeleton004;Skeleton008,,Theme001,MoodDusty,Glacier002,,Layout005_001,Slam // Escaper,
6,DUNGEON_MYSTIC_TOMBS,1,0,1,0,1,Skeleton,Rat,,,Theme001,MoodMagical,Glacier003,,Layout005_001,,
7,DUNGEON_MYSTIC_TOMBS,1,0,1,0,1,Skeleton,Rat,,,Theme001,MoodMagical,Glacier003,,Layout005_001,,
8,DUNGEON_MYSTIC_TOMBS,1,0,1,0,1,Skeleton,Rat,Skeleton007;Skeleton006,,Theme001,MoodMagical,Glacier003,,Layout005_001,Heal // Slam,
9,DUNGEON_GLOOMY_KEEP,1,0,1,0,1,Rat,Skeleton,,,Theme001,MoodIceNight,Forest001,,Layout005_001,,
10,DUNGEON_GLOOMY_KEEP,1,0,1,0,1,Rat,Skeleton,,,Theme001,MoodIceNight,Forest001,,Layout005_001,,
11,DUNGEON_GLOOMY_KEEP,1,0,1,0,1,Rat,Skeleton,Rat003;Rat002,,Theme001,MoodIceNight,Forest001,,Layout005_001,Escaper // Slash;Poison,
12,DUNGEON_LOST_CELLARS,1,0,1,0,1,Skeleton,Rat,,,Theme001,MoodMoonlight,Forest002,,Layout005_001,,
13,DUNGEON_LOST_CELLARS,1,0,1,0,1,Skeleton,Rat,,,Theme001,MoodMoonlight,Forest002,,Layout005_001,,
14,DUNGEON_LOST_CELLARS,1,0,1,0,1,Skeleton,Rat,Skeleton002;Skeleton005,,Theme001,MoodMoonlight,Forest002,,Layout005_001,Breeder // Escaper,
15,DUNGEON_FOGGY_GATES,1,0,1,0,1,Jelly,Rat,,,Theme001,MoodGloomy,Forest003,,Layout005_001,,
16,DUNGEON_FOGGY_GATES,1,0,1,0,1,Jelly,Rat,,,Theme001,MoodGloomy,Forest003,,Layout005_001,,
17,DUNGEON_FOGGY_GATES,1,0,1,0,1,Jelly,Rat,Jelly003,,Theme001,MoodGloomy,Forest003,,Layout005_001,Leap,
18,DUNGEON_SHADY_PASSAGE,1,0,1,0,1,Jelly,Skeleton,,,Theme001,MoodDusty,Glacier001,,Layout005_001,,
19,DUNGEON_SHADY_PASSAGE,1,0,1,0,1,Jelly,Skeleton,,,Theme001,MoodDusty,Glacier001,,Layout005_001,,
20,DUNGEON_SHADY_PASSAGE,1,0,1,0,1,Jelly,Skeleton,Jelly002;Jelly004,,Theme001,MoodDusty,Glacier001,,Layout005_001,Whirlwind; Knockback // Whirlwind,
21,DUNGEON_MYSTIC_TOMBS,1,0,1,0,1,Jelly,Skeleton,,,Theme001,MoodMagical,Glacier002,,Layout005_001,,
22,DUNGEON_MYSTIC_TOMBS,1,0,1,0,1,Jelly,Skeleton,,,Theme001,MoodMagical,Glacier002,,Layout005_001,,
23,DUNGEON_MYSTIC_TOMBS,1,0,1,0,1,Jelly,Skeleton,Jelly001,,Theme001,MoodMagical,Glacier002,,Layout005_001,Splitter,
24,DUNGEON_GLOOMY_KEEP,1,0,1,0,1,Rat,Jelly,,,Theme001,MoodIceNight,Glacier003,,Layout005_001,,
25,DUNGEON_GLOOMY_KEEP,1,0,1,0,1,Rat,Jelly,,,Theme001,MoodIceNight,Glacier003,,Layout005_001,,
26,DUNGEON_GLOOMY_KEEP,1,0,1,0,1,Rat,Jelly,Rat001,,Theme001,MoodIceNight,Glacier003,,Layout005_001,BreederEscaper,
27,DUNGEON_LOST_CELLARS,1,0,1,0,1,Jelly,Rat,,,Theme001,MoodMoonlight,Forest001,,Layout005_001,,
28,DUNGEON_LOST_CELLARS,1,0,1,0,1,Jelly,Rat,,,Theme001,MoodMoonlight,Forest001,,Layout005_001,,
29,DUNGEON_LOST_CELLARS,1,0,1,0,1,Jelly,Rat,Skeleton002; Skeleton003; Skeleton004; Skeleton005; Skeleton006; Skeleton007; Skeleton008; Jelly001; Jelly002; Jelly003; Jelly004; Rat001; Rat002; Rat003,Elite,Theme001,MoodMoonlight,Forest001,,Layout005_001,,
30,DUNGEON_MISTY_MEADOWS,1,0,1,0,1,Pygmy,Crocodile,,,Theme002,MoodIceDay,Forest002,,Layout005_001,,
31,DUNGEON_MISTY_MEADOWS,1,0,1,0,1,Pygmy,Crocodile,,,Theme002,MoodIceDay,Forest002,,Layout005_001,,
32,DUNGEON_MISTY_MEADOWS,1,0,1,0,1,Pygmy,Crocodile,Pygmy001,,Theme002,MoodIceDay,Forest002,,Layout005_001,Leader,
33,DUNGEON_DAMP_ISLES,1,0,1,0,1,Pygmy,Crocodile,,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
34,DUNGEON_DAMP_ISLES,1,0,1,0,1,Pygmy,Crocodile,,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
